TYPE,ADULT_JUVENILE,YEAR,DATETIME,CCN,AGE,OFFENSE_DISTRICT,OFFENSE_PSA,OFFENSE_BLOCKX,OFFENSE_BLOCKY,DEFENDANT_PSA,DEFENDANT_DISTRICT,RACE,ETHNICITY,SEX,CATEGORY,DESCRIPTION,ADDRESS,ARREST_BLOCKX,ARREST_BLOCKY,GIS_ID,CREATOR,CREATED,EDITOR,EDITED,OBJECTID,GLOBALID
Possession with intent to distribute,Adult,2014,2014/07/03 22:41:00+00,b'\x05\xb8I\xac7\x85e',23,6D,604,406000,134600,507,5D,B ,N ,M,Narcotics,Ucsa Pwid Marijuana,5000 BLOCK OF H ST SE,406000,134600,MARIJUANA_ARRESTS_8082,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,20562,{F4A40AA4-ADAF-4EA0-9DED-05B719E1DD4A}
Possession,Adult,2014,2014/07/03 22:43:00+00,b'r\xc7\xe1c\xdePd',58,3D,304,398000,139900,304,3D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,2800 BLOCK OF GEORGIA AVE NW,398000,139900,MARIJUANA_ARRESTS_8083,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,20563,{4AEDCB33-E8A1-4081-8E27-81B465D43BDF}
Possession,Adult,2014,2014/07/03 23:10:00+00,b'\xa5\xb1\xc5=\xaf\xdc2',36,7D,701,401500,132800,,,B ,N ,M,Narcotics,Ucsa Possession Marijuana,2200 BLOCK OF 16TH ST SE,401500,132800,MARIJUANA_ARRESTS_8084,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,20564,{CE532BB5-5477-4AF2-B095-7DD394C1E568}
Possession with intent to distribute,Adult,2014,2014/07/03 23:34:00+00,b'o5\xb3\x97\xe0\x13i',27,7D,707,399500,129500,707,7D,B ,U ,M,Narcotics,Ucsa Pwid Marijuana,3800 BLOCK OF 1ST ST SE,399500,129500,MARIJUANA_ARRESTS_8085,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,20565,{D7532794-7D25-453C-BF62-0E9367E97594}
Possession,Adult,2014,2014/07/03 23:40:00+00,b'\xc18\x81x\xa8\xbf\xdb',54,6D,604,405900,135800,Out of State,Out of State,B ,N ,M,Narcotics,Ucsa Possession Marijuana,49TH ST SE / EAST CAPITOL ST,405900,135800,MARIJUANA_ARRESTS_8086,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,20566,{D4606CEE-6630-414F-B712-459EC4BD2296}
Possession with intent to distribute,Adult,2014,2014/07/04 00:57:00+00,b'?\xe7\x16J\xa0\x0c4',27,6D,604,406500,135400,604,6D,B ,U ,F,Narcotics,Ucsa Pwid Marijuana,100 BLOCK OF 53RD ST SE,406500,135400,MARIJUANA_ARRESTS_8087,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,20567,{307BB819-1FE1-45ED-B68A-A0F0FADBD47A}
Possession with intent to distribute,Adult,2014,2014/07/04 00:57:00+00,b'?\xe7\x16J\xa0\x0c4',33,6D,604,406500,135400,703,7D,B ,N ,M,Narcotics,Ucsa Pwid Marijuana,100 BLOCK OF 53RD ST SE,406500,135400,MARIJUANA_ARRESTS_8088,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,20568,{36A22DD0-6F10-480A-9336-CC00EF1A6E9B}
Possession,Adult,2014,2014/07/04 01:23:00+00,b'\xc8&\x1f\x940\x9a\xbc',31,5D,507,401900,136800,507,5D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,18TH ST NE / BENNING RD NE,402000,136800,MARIJUANA_ARRESTS_8089,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,20569,{8BD9BC6D-6CFB-4310-A8A3-43B46B28BB12}
Possession,Adult,2014,2014/07/04 01:55:00+00,b'2I\xc4\xfc9\x8c\xaf',53,3D,304,398000,139700,407,4D,B ,U ,M,Narcotics,Ucsa Possession Marijuana,2700 BLOCK OF GEORGIA AVE NW,398000,139700,MARIJUANA_ARRESTS_8090,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,20570,{1AE825A3-A4B1-4C65-A3A5-6D31F9BB7666}
Possession,Adult,2014,2014/07/04 01:55:00+00,b'\xa9= +\xf2e\xd8',54,3D,304,397200,139600,304,3D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,2700 BLOCK OF 14TH ST NW,397200,139600,MARIJUANA_ARRESTS_8091,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,20571,{D1DC2495-DEE9-4815-AC62-82CD49A47330}
Possession,Adult,2014,2014/07/04 08:35:00+00,b'\x03\xbd\xe0 E\xcc\x18',39,1D,103,398800,136900,Out of State,Out of State,B ,N ,M,Narcotics,Ucsa Possession Marijuana,2ND ST NW / H ST NW,398800,136900,MARIJUANA_ARRESTS_8092,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,20572,{9E48626E-423A-4881-B022-B0A8B98F9882}
Possession,Adult,2014,2014/07/04 19:33:00+00,b'\xa4\xd5\x85\\7\xf7\x0b',21,3D,302,397100,140200,,,B ,N ,F,Narcotics,Ucsa Possession Marijuana,3100 BLOCK OF 14TH ST NW,397100,140200,MARIJUANA_ARRESTS_8093,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,20573,{DE4CF30C-F25A-4268-992C-3D7A10369F3A}
Possession,Adult,2014,2014/07/04 19:50:00+00,b'%\xfd#\x10~\xc7N',41,3D,301,397100,139000,304,3D,B ,N ,F,Narcotics,Ucsa Possession Marijuana,1400 BLOCK OF W ST NW,397200,139000,MARIJUANA_ARRESTS_8094,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,20574,{4A9A03FB-FED8-453C-B422-728CBFF91A7B}
Possession,Adult,2014,2014/07/04 22:31:00+00,b'=\x8bF\r\xa3\xdd\xea',45,3D,304,397800,139800,302,3D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,700 BLOCK OF GIRARD ST NW,397800,139800,MARIJUANA_ARRESTS_8095,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,20575,{67ADBCC1-D0E7-48B2-A283-356CD57EA08A}
Possession,Adult,2014,2014/07/04 23:39:00+00,b'h\xa3jF%\x98T',22,5D,501,399200,137700,501,5D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,1300 BLOCK OF NORTH CAPITOL ST NW,399200,137700,MARIJUANA_ARRESTS_8096,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,20576,{721C7CAA-810A-4052-86FE-5F4DDD73D406}
Possession,Adult,2014,2014/07/05 00:52:00+00,b'\xe1\xc8WO\xc8WS',21,1D,106,400900,134600,605,6D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,1200 BLOCK OF I ST SE,400900,134600,MARIJUANA_ARRESTS_8097,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,20577,{AC4B8310-1C58-4F06-B6D3-8E527C8891BF}
Possession,Adult,2014,2014/07/05 01:35:00+00,b'\x08\xd4\x0e\xe3?L9',31,7D,702,401400,131700,Out of State,Out of State,B ,N ,M,Narcotics,Ucsa Possession Marijuana,STANTON RD SE / SUITLAND PKWY SE,401400,131700,MARIJUANA_ARRESTS_8098,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,20578,{3E8B05EC-965E-426B-9C05-BD8E930E82DE}
Possession,Adult,2014,2014/07/05 03:15:00+00,b'\xf1\xaaL\x9e([\xb5',34,6D,602,405700,137200,608,6D,B ,N ,F,Narcotics,Ucsa Possession Marijuana,1000 BLOCK OF 48TH ST NE,405700,137200,MARIJUANA_ARRESTS_8099,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,20579,{961E0856-5743-464D-80D9-029A375FBF06}
Possession,Adult,2014,2014/07/05 03:57:00+00,b'\xdf<\xf3\r\xbc\xcc\xde',44,1D,106,399200,134500,505,5D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,K ST SE / SOUTH CAPITOL ST,399200,134500,MARIJUANA_ARRESTS_8100,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,20580,{5400DBA4-287A-4304-9632-41F327B75BFD}
Possession with intent to distribute,Juvenile,2014,2014/07/04 04:00:00+00,,,7D,703,,,708,7D,,,,Narcotics,Ucsa Pwid Marijuana,,,,MARIJUANA_ARRESTS_8101,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,20581,{96CD7023-11B6-4C34-921F-D71447389DED}
Possession,Adult,2014,2014/07/05 04:08:00+00,"b'\x19,\xe4V\x82\xbe\xbf'",20,6D,605,404900,133100,605,6D,B ,N ,F,Narcotics,Ucsa Possession Marijuana,4100 BLOCK OF SOUTHERN AVE SE,404900,133100,MARIJUANA_ARRESTS_8102,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,20582,{44885752-DC16-44D2-B06A-62693692FCE7}
Possession,Adult,2014,2014/07/05 05:45:00+00,b'}\x01\x9f\xbbm\xec1',24,7D,704,402000,131600,Out of State,Out of State,B ,N ,F,Narcotics,Ucsa Possession Marijuana,1900 BLOCK OF FREDERICK DOUGLASS CT SE,402000,131600,MARIJUANA_ARRESTS_8103,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,20583,{B87AB4E3-BB73-4411-AD00-2F42188BB25D}
Possession,Adult,2014,2014/07/05 05:47:00+00,b'\xa7\xdd\x89\xe1\x03\xfa\xdb',35,3D,302,397200,140000,407,4D,B ,U ,M,Narcotics,Ucsa Possession Marijuana,3000 BLOCK OF 14TH ST NW,397200,140000,MARIJUANA_ARRESTS_8104,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,20584,{5D8D36B6-F59E-4670-836F-05B45B76DA3E}
Possession,Adult,2014,2014/07/05 15:25:00+00,b'\x19m@\xfa\xf2>n',23,7D,704,402600,131100,703,7D,B ,U ,M,Narcotics,Ucsa Possession Marijuana,2300 BLOCK OF SAVANNAH ST SE,402600,131100,MARIJUANA_ARRESTS_8105,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,20585,{EAD049E8-8E81-47E2-BE8F-50F34B3BDF6F}
Possession,Adult,2014,2014/07/05 21:40:00+00,b'\xff\x98\xab\xa7\x87\xdf\xfc',22,5D,506,401700,137800,506,5D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,1700 BLOCK OF HOLBROOK ST NE,401700,137800,MARIJUANA_ARRESTS_8106,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,20586,{C67FC502-4D28-464C-B61E-88758DD55995}
Possession,Adult,2014,2014/07/05 23:00:00+00,b'%\x1f\xa7|\xca\xc5\xc7',37,6D,604,405500,135500,Out of State,Out of State,B ,N ,F,Narcotics,Ucsa Possession Marijuana,4600 BLOCK OF BENNING RD SE,405500,135500,MARIJUANA_ARRESTS_8107,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,20587,{1BB90E68-D964-42A7-A1F6-19DC388854FF}
Possession,Adult,2014,2014/07/06 01:10:00+00,b'\xd8\xa8\x10\xca\x11NR',28,3D,306,398600,139000,502,5D,B ,N ,F,Narcotics,Ucsa Possession Marijuana,200 BLOCK OF V ST NW,398700,133000,MARIJUANA_ARRESTS_8108,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,20588,{06FBA913-31BE-4D04-B45D-E9EBFCD9B68E}
Possession,Adult,2014,2014/07/06 01:48:00+00,b'u\xad\rkov\x90',23,7D,706,400200,129200,708,7D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,600 BLOCK OF ATLANTIC ST SE,400200,129200,MARIJUANA_ARRESTS_8109,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,20589,{B3F402E7-0B1B-45CF-A132-3E6C7BA865A2}
Possession,Adult,2014,2014/07/06 03:24:00+00,b'\xc0v\r\x8c\xba}\xe5',51,1D,105,398800,134500,105,1D,B ,U ,M,Narcotics,Ucsa Possession Marijuana,200 BLOCK OF K ST SW,398800,134500,MARIJUANA_ARRESTS_8110,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,20590,{A880E05E-805C-4E26-805D-490899A70C31}
Possession,Adult,2014,2014/07/06 04:16:00+00,"b',R\nn\\+w'",20,7D,703,400100,132400,Out of State,Out of State,U,H ,M,Narcotics,Ucsa Possession Marijuana,1300 BLOCK OF STEVENS RD SE,400100,132400,MARIJUANA_ARRESTS_8111,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,20591,{4FFD6572-0BF2-42BD-ABA9-A21C5F6B7926}
Possession,Adult,2014,2014/07/06 04:30:00+00,b'\x10\x89\x99\x98\xed~h',46,7D,705,401300,130500,Out of State,Out of State,B ,N ,F,Narcotics,Ucsa Possession Marijuana,14TH PL SE / SAVANNAH PL SE,401300,130500,MARIJUANA_ARRESTS_8112,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,20592,{9657B86E-6C2C-4938-B03E-25CDDE901350}
Possession,Adult,2014,2014/07/06 04:51:00+00,b'\x10\xa6\x1f\xa2\xd3(?',25,3D,303,396300,139500,207,2D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,1700 BLOCK OF COLUMBIA RD NW,396300,139500,MARIJUANA_ARRESTS_8113,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,20593,{7394849C-62EB-4B21-A8BC-04030832BD60}
Possession,Adult,2014,2014/07/06 04:51:00+00,b'\x10\xa6\x1f\xa2\xd3(?',26,3D,303,396300,139500,Out of State,Out of State,B ,N ,M,Narcotics,Ucsa Possession Marijuana,1700 BLOCK OF COLUMBIA RD NW,396300,139500,MARIJUANA_ARRESTS_8114,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,20594,{EB8DC1E6-9CE0-49BC-B31A-B3198BA62E06}
Possession,Adult,2014,2014/07/06 19:00:00+00,b'\x84\xcf\xd2\x8e\xd4|8',38,5D,503,402300,140300,Out of State,Out of State,B ,N ,F,Narcotics,Ucsa Possession Marijuana,2300 BLOCK OF RHODE ISLAND AVE NE,402300,140300,MARIJUANA_ARRESTS_8115,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,20595,{471592B8-B3EB-4F84-9627-FA929C6A2160}
Possession,Adult,2014,2014/07/06 20:35:00+00,b'\xbc\xbe5\xb5\x18\xab8',23,6D,604,406400,134800,604,6D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,5100 BLOCK OF FITCH ST SE,406400,134800,MARIJUANA_ARRESTS_8116,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,20596,{B4BAF173-7AEA-419B-B7C8-614FB5A36E5A}
Possession,Adult,2014,2014/07/06 20:35:00+00,b'\xbc\xbe5\xb5\x18\xab8',31,6D,604,406400,134800,604,6D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,5100 BLOCK OF FITCH ST SE,406400,134800,MARIJUANA_ARRESTS_8117,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,20597,{1D3F58C3-35F7-4BFE-B6BC-6E5DBC8C73B1}
Possession,Adult,2014,2014/07/06 21:26:00+00,b'ZS\xf0\xe6L\xad\xdd',25,7D,707,399500,130000,707,7D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,3700 BLOCK OF 1ST ST SE,399500,130000,MARIJUANA_ARRESTS_8118,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,20598,{031D9999-A819-494E-AEF8-561E10096241}
Possession with intent to distribute,Adult,2014,2014/07/06 21:26:00+00,b'ZS\xf0\xe6L\xad\xdd',32,7D,707,399500,130000,707,7D,B ,U ,M,Narcotics,Ucsa Pwid Marijuana,3700 BLOCK OF 1ST ST SE,399500,130000,MARIJUANA_ARRESTS_8119,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,20599,{34097FFF-4144-4534-86C3-E0CED8EEEA9A}
Possession,Adult,2014,2014/07/06 22:06:00+00,"b',\x03UHC?\xab'",43,6D,607,402400,133900,602,6D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,2400 BLOCK OF MINNESOTA AVE SE,402400,133900,MARIJUANA_ARRESTS_8120,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,20600,{01EABDF9-9FE1-42D3-AA63-E98E2FABADB5}
Possession,Adult,2014,2014/07/06 23:57:00+00,b'\xbb\x94\x0f\xfb\x1e\xe5s',29,2D,207,396400,137200,304,3D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,1800 BLOCK OF K ST NW,396400,137200,MARIJUANA_ARRESTS_8121,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,20601,{9FB42F01-3FEB-4318-AFC3-07F3AD28D44B}
Possession,Adult,2014,2014/07/07 01:41:00+00,b'\xfa\ryX`5\x1e',18,2D,205,391800,140200,203,2D,W ,N ,M,Narcotics,Ucsa Possession Marijuana,CHAIN BRIDGE RD NW,391800,140200,MARIJUANA_ARRESTS_8122,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,20602,{D4FF57D1-9056-4790-BCE1-0BFD25D8E330}
Possession,Adult,2014,2014/07/07 01:41:00+00,b'\xfa\ryX`5\x1e',19,2D,205,391800,140200,201,2D,W ,N ,M,Narcotics,Ucsa Possession Marijuana,CHAIN BRIDGE RD NW,391800,140200,MARIJUANA_ARRESTS_8123,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,20603,{16CDC298-8E44-43F2-B134-B1557D170A7E}
Possession,Adult,2014,2014/07/07 01:45:00+00,b'F\xa3\xa2\x04\x04WP',24,6D,602,405300,136400,608,6D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,100 BLOCK OF 44TH ST NE,405300,136000,MARIJUANA_ARRESTS_8124,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,20604,{E7582260-F4EF-44E4-BC13-38AF006CDAC9}
Possession,Adult,2014,2014/07/07 02:19:00+00,b'\xb7S\x92\x11\xc3\x1e#',34,2D,207,397000,137300,206,2D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,15TH ST NW / L ST NW,397000,137300,MARIJUANA_ARRESTS_8125,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,20605,{13CA06A3-66E1-422C-B850-4F6E61050E58}
Possession,Adult,2014,2014/07/07 02:19:00+00,b'\xb7S\x92\x11\xc3\x1e#',34,2D,207,397000,137300,607,6D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,15TH ST NW / L ST NW,397000,137300,MARIJUANA_ARRESTS_8126,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,20606,{C99AB3B3-A666-424B-8CDC-8ECD33063294}
Possession,Adult,2014,2014/07/07 03:10:00+00,b'\xb4\xc8\xb4\\\xa3\x9c<',57,5D,502,400100,139700,102,1D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,2700 BLOCK OF 6TH ST NE,400100,139700,MARIJUANA_ARRESTS_8127,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,20607,{761DFC20-AF1E-4DF9-B0A2-F9199D8E7482}
Possession with intent to distribute,Adult,2014,2014/07/07 20:53:00+00,"b'-nA\xf90,{'",18,4D,404,397700,141000,404,4D,B ,N ,M,Narcotics,Poss W/i To Dist Marijuana-misd,3700 BLOCK OF 10TH ST NW,397700,141000,MARIJUANA_ARRESTS_8128,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,20608,{53518468-E4FA-4743-81E8-F118F3ED5071}
Possession,Adult,2014,2014/07/07 22:08:00+00,b'\xc8\x0f~\xe0%}l',20,6D,604,406300,134900,604,6D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,5200 BLOCK OF E ST SE,406300,134900,MARIJUANA_ARRESTS_8129,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,20609,{61DDD3D6-7AB8-4FA1-A8AD-290FDB5D9601}
Possession,Adult,2014,2014/07/07 22:27:00+00,b'<\xb32\xf8\xedme',18,2D,206,393900,137300,207,2D,B ,N ,F,Narcotics,Ucsa Possession Marijuana,3500 BLOCK OF WATER ST NW,393900,137300,MARIJUANA_ARRESTS_8130,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,20610,{38BE9CC0-667E-45C3-96B2-42662B8AD4CA}
Possession,Adult,2014,2014/07/07 22:27:00+00,b'<\xb32\xf8\xedme',18,2D,206,393900,137300,Out of State,Out of State,B ,N ,M,Narcotics,Ucsa Possession Marijuana,3500 BLOCK OF WATER ST NW,393900,137300,MARIJUANA_ARRESTS_8131,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,20611,{594FC68A-8FC9-405B-BC40-6CDC3FD0DC80}
Possession,Juvenile,2014,2014/07/07 04:00:00+00,,,2D,206,,,Out of State,Out of State,,,,Narcotics,Ucsa Possession Marijuana,,,,MARIJUANA_ARRESTS_8132,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,20612,{054F889F-469E-4A95-87FC-A83F9F229FE8}
Possession,Adult,2014,2014/07/08 20:31:00+00,b'\xfe\xb2\xa2]\xd6\xa2\xee',23,6D,604,405500,135500,604,6D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,4600 BLOCK OF BENNING RD SE,405500,135500,MARIJUANA_ARRESTS_8133,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,20613,{908B48FD-DB6C-4456-858E-91CBE28BDB0B}
Possession,Unknown,2014,2014/07/08 20:53:00+00,b'\x00\x9a\xd9\x83\x0c\xe97',,6D,608,405400,135800,Out of State,Out of State,B ,N ,F,Narcotics,Ucsa Possession Marijuana,4500 BLOCK OF C ST SE,405400,135800,MARIJUANA_ARRESTS_8134,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,20614,{07721590-76BF-4A58-AC1B-F60EC248C7AC}
Possession with intent to distribute,Adult,2014,2014/07/08 22:45:00+00,b'\x1aT\xbb\xf6\xd2f\x96',47,6D,604,406700,135100,406,4D,B ,U ,M,Narcotics,Ucsa Pwid Marijuana,5900 BLOCK OF SOUTHERN AVE SE,407300,135700,MARIJUANA_ARRESTS_8135,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,20615,{B19FDB37-496F-4960-9603-E8B9AB827CC4}
Possession,Adult,2014,2014/07/08 23:12:00+00,b'\xb7\x8ff\xcb0\xa4s',23,2D,206,393900,137300,Out of State,Out of State,B ,N ,F,Narcotics,Ucsa Possession Marijuana,3500 BLOCK OF WATER ST NW,393900,137300,MARIJUANA_ARRESTS_8136,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,20616,{D5622050-A16C-41C6-8E19-DD746335DB0B}
Possession,Adult,2014,2014/07/08 23:31:00+00,b'<\x05R\x83y\xcb\xb0',23,2D,206,393900,137300,Out of State,Out of State,B ,N ,M,Narcotics,Ucsa Possession Marijuana,3500 BLOCK OF WATER ST NW,393900,137300,MARIJUANA_ARRESTS_8137,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,20617,{141F6668-8909-4E96-BC36-C5A6112479D8}
Possession,Adult,2014,2014/07/08 23:31:00+00,b'\xa4E\xdaJn }',26,2D,206,393900,137300,,,B ,N ,M,Narcotics,Ucsa Possession Marijuana,3500 BLOCK OF WATER ST NW,393900,137300,MARIJUANA_ARRESTS_8138,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,20618,{AE57F872-2350-42F9-97FA-560079D79A6C}
Distribution,Adult,2014,2014/07/09 00:35:00+00,b'FS\x93\xb3\xd6Yu',46,1D,105,398700,134500,708,7D,B ,N ,M,Narcotics,Distribution Of Marijuana-misd,200 BLOCK OF K ST SW,398700,134500,MARIJUANA_ARRESTS_8139,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,20619,{36EB0FF5-CA32-48CC-9BA7-5514DB9D68F7}
Possession,Adult,2014,2014/07/09 03:55:00+00,b'\x14\xeb\xa5\x99\xc0\xe7h',34,4D,403,397600,143000,403,4D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,5400 BLOCK OF ILLINOIS AVE NW,397600,143000,MARIJUANA_ARRESTS_8140,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,20620,{59AD3DC7-7C23-4B6C-91A4-5A43657C6858}
Possession,Adult,2014,2014/07/09 04:21:00+00,b'\xfe\xa7\t\xa9\xa5AB',21,5D,502,400300,139900,502,5D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,600 BLOCK OF GIRARD ST NE,400300,139900,MARIJUANA_ARRESTS_8141,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,20621,{63B8C637-D6DC-4D68-9482-0EA266905020}
Possession,Adult,2014,2014/07/09 21:30:00+00,b'4s/-\xa0n\x84',26,6D,604,406300,134800,505,5D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,53RD ST SE / FITCH ST SE,406300,134800,MARIJUANA_ARRESTS_8142,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,20622,{F9FACB1C-C602-41D5-A653-D80F16FD7E87}
Possession with intent to distribute,Adult,2014,2014/07/09 22:00:00+00,b'\xf6m\x85\xe1PV)',25,6D,608,405600,135800,604,6D,B ,N ,M,Narcotics,Ucsa Pwid Marijuana,46TH PL NE / CENTRAL AVE NE,405600,135800,MARIJUANA_ARRESTS_8143,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,20623,{FAC8EC9C-2364-4FC2-9261-6C03F564AF7C}
Possession,Adult,2014,2014/07/09 23:12:00+00,b'\x88\xe9S\xae\xb9\x93h',48,5D,507,401900,136800,507,5D,B ,N ,F,Narcotics,Ucsa Possession Marijuana,1700 BLOCK OF BENNING RD NE,401900,136800,MARIJUANA_ARRESTS_8144,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,20624,{65BEBB1C-3171-4F28-9DBB-F9C56A83BA24}
Possession,Adult,2014,2014/07/10 02:05:00+00,b'6\xb1rd\xbb\x15\xa1',21,7D,701,401400,133000,701,7D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,1500 BLOCK OF V ST SE,401400,133000,MARIJUANA_ARRESTS_8145,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,20625,{FAE7BB0F-B5AA-4308-BFB5-0B4E920E76F0}
Possession,Adult,2014,2014/07/10 03:10:00+00,b'\xe8k!`\xc7\x9a\x10',30,7D,703,400400,132400,Out of State,Out of State,B ,N ,M,Narcotics,Ucsa Possession Marijuana,2600 BLOCK OF MARTIN LUTHER KING JR AVE SE,400400,132400,MARIJUANA_ARRESTS_8146,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,20626,{36437133-B5D6-4435-8D27-30D37F15AC41}
